what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426801537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426802492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426807520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426809552
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426811514
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426811597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426817821
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426818167
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426818241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426820985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426822632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426823257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426824216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426825201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426842445
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426842453
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426842627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426845363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426854978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342426860436
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1342426872442
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1342426872458
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1342426872473
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426876616
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426876813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426878112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426882182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426882186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426895775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426896981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426914199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426918149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426925336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342426928173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426930350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426936838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426940763
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426941767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426945702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426946718
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426946726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426947878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426963682
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1342426964223
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426967218
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342426967293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426971312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342426981658
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1342426981691
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342426981940
